,Title,Star,Review
4,Terrific,1,very good product at this price
5,Terrible product,1,bad performance
6,Very poor,4,within 2 months entire display is gone filled with line phone is very slow
7,Worth the money,3,worth of money keep buying
8,Very poor,4,don't buy this product
10,Don't waste your money,1,"in moto g 62 phone design, display, battery  all things is good but main problem  in my phone is network,  any sim i try jio and airtel but network problem , sometime  no network is come at the same time in orher phone full network is come. if you have any solutions  pl. provide  me. .."
11,Good quality product,1,the phone back camera is weste and mobile is all right
12,Does the job,1,i'm giving this review after a month of use and i think at this price you may get good performance in realme phones or poco phone.
13,Terrible product,1,worst
14,Very poor,1,slower than a turtle.....it doesn't work properly....don't waste your money on this guys.
15,Don't waste your money,1,a very bad product
16,Awesome,5,apart from camera it's power pack.
17,Did not meet expectations,4,worst mobile
19,Horrible,4,bad product if you want slow than go for it
20,Worthless,5,very bad mobile camera quality very bad
21,Worst experience ever!,1,low display quality
22,Moderate,1,display problem ahara
23,Good choice,1,good one
24,Nice,1,lag
25,Product Quality,5,original quality.
26,Worst experience ever!,5,bad performance and very slow phone
27,Did not meet expectations,4,touch screen not working
28,Could be way better,1,okok
29,Utterly Disappointed,1,waste products
30,Utterly Disappointed,1,not fulfilling expectation as per budget.
31,Wonderful,1,good
32,Mind-blowing purchase,1,classic in this segment 
33,Not recommended at all,1,not really good at this price go for other
34,Waste of money!,3,very bad product  can't expect from motorolaalways hanging problem.touch response veery slow touch now it's working 2 -4 days later.
35,Delightful,3,motorola g22 mast beautiful look
36,Utterly Disappointed,5,problems right after 1 year of purchase
37,Very poor,5,"the processor is too slow, camera quality is average.i will not advise anyone to buy this phone as it is a painful experience to wait for the basic function to start as the phone is too slow"
38,Fair,1,not as expected 
39,Don't waste your money,1,"very bad phone,"
40,Good,1,software is very slow in this mobile
41,Useless product,1,horrible product
42,Horrible,1,worst phone i have ever seen very poor performance one app takes 5-10 sec to open very lag luster phone
43,Worst experience ever!,1,worst product. don't buy. lags too much.
44,Super!,5,good mobile in affordable price
45,Highly recommended,5,awesome product...
46,Utterly Disappointed,5,worst product ever .i suggest everyone not to purchase phones of motorola very bad performance
47,Useless product,5,don't like
48,Waste of money!,3,don't buy this smartphone its very poor performance.
49,Did not meet expectations,1,hang prblm
50,Highly recommended,1,superb 
51,Worth every penny,1,ok very nice
52,Useless product,1,no comments
54,Terrific,3,very nice looking so very good battery 
55,Decent product,3,slow processor
56,Absolute rubbish!,5,poor
57,Not good,1,"i am very disappointed with this phone , this is very slow , when i want to click a photo in a car  camra opened after 15 to 20 sec , so i want to sale this...please suggest i am right and wrong"
58,Fair,1,phone good but hanging problem
59,Worst experience ever!,1,very worst product totally wast for money
60,Don't waste your money,1,mobile waste of money not working properly phone hanging
62,Useless product,5,display not tach
63,Absolute rubbish!,3,"the slowest phone i have ever used, don't even think for this phone"
64,Bad quality,5,do not.buy the phone.i had taken it got damaged 2 times within 1 year now it is not working.
65,Awesome,5,product is good to use. i am using this phone for more than a year.
66,Mind-blowing purchase,5,best phone in low range
67,Absolute rubbish!,4,third class
68,Unsatisfactory,1,"very bad ,charging time heated  and  camera  is  no  50  mp  ...... lagging issue  .. dont purchase"
69,Good,1,okk product
71,Awesome,5,not bad
73,Does the job,1,lacking problem
74,Really Nice,1,nice phone
75,Hated it!,1,not best
76,Utterly Disappointed,1,worst experience ever. dont buy any moto phone.
77,Moderate,1,very low quality
78,Unsatisfactory,5,the phone hangs a lot.even a day to day task on this phone becomes very tedious
79,Slightly disappointed,5,please don't buy this phone.it is the slowest phone ever
80,Waste of money!,3,you should regret after buying it.
81,Simply awesome,4,to good all
82,Slightly disappointed,3,"after a month this hang too much. don't buy it, total waste of money."
83,Hated it!,1,performance not good of processer
85,Terrible product,1,not at all satisfied with this product the phone is too much hang from the day i have purchased
86,Wonderful,1,super
87,Don't waste your money,5,not happy
88,Waste of money!,1,product is not good
89,Super!,4,ok
90,Absolute rubbish!,5,performance not good all time hang problem and i am  not satisfy moto phones very poor quality
91,Fair,4,not bad product
92,Could be way better,5,mobile hangs a lotfast doesn't work
93,Good choice,3,superr 
94,Hated it!,1,very bad products 
95,Fair,5,sometimes it get hang
96,Waste of money!,4,writing my review after using this mobile for 4 months it is getting restarted automatically 4-5 times a day for the last few days.sometimes it goes to flight mode when i receive a call.sometimes the phone rings but there is no option to receive the call.will write more soon
97,Just wow!,4,very very good mobile
98,Value-for-money,5,ok with budget.
100,Really Nice,3,superb
101,Terrific purchase,5,overall phone processor and performance very good problem only with late delevery with flipkart everytime
102,Nice,1,it's good n design is amazing 
103,Don't waste your money,1,new phone hang problem
104,Wonderful,3,very nice my pasand
105,Wonderful,3,a very good camera phone in budget range with excellent battery.             and  plastic case is within the box company shoud mention it
106,Wonderful,5,nice
107,Absolute rubbish!,1,worst phone ever on porformance
108,Expected a better product,1,camera quality is not good
109,Not recommended at all,4,camera quality is too low
110,Waste of money!,2,
111,Unsatisfactory,3,phone hang
112,Worth every penny,3,on this price segment this phone is best....
114,Horrible,5,"this is very bad product, don't waste your moneyi bought this but it have hanging problem and no return policy supported under 10 days"
115,Good,1,"god looking phone, reported brand, pretty much like a stock android however there is some visible lag without any add on app and basic usage."
116,Wonderful,5,good ha
117,Worthless,5,this is bad device
118,Not recommended at all,3,motorola mobile is bad no battery backup only hang hang hang
119,Wonderful,5,value for money battery performance are superb
120,Just okay,1,good
121,Excellent,1,good nic
122,Perfect product!,1,"veryyyyyy nice, i love it"
123,Brilliant,3,awosom mobile thank you flipkart
124,Great product,1,looking 
125,Just wow!,5,nice performance and happiness to get these mobile
